B	1.37
B	1.74
B	2
B	2.12
B	2.21
B	2.28
B	2.33
B	2.37
B	2.41
B	2.44
B	2.48
B	2.51
B	2.53
B	2.56
B	2.58
B	2.58
B	2.6
B	2.61
B	2.61
B	2.65
B	2.69
A	1.1
B	2.72
A	1.48
B	2.75
A	1.68
B	2.78
A	1.8
B	2.81
A	1.88
B	2.84
A	1.94
B	2.84
A	1.96
B	2.86
A	1.98
B	2.87
A	1.98
B	2.88
A	2
B	2.88
A	2
B	2.89
A	2.01
B	2.89
A	2.01
B	2.9
A	2.02
B	2.91
A	2.02
B	2.92
A	2.02
B	2.93
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.02
B	2.94
A	2.03
B	2.94
A	2.03
B	2.94
A	2.03
B	2.94
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.03
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.92
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.93
A	2.04
B	2.92
A	2.04
B	2.92
A	2.04
B	2.92
A	2.04
B	2.92
A	2.05
B	2.92
A	2.05
B	2.92
A	2.05
B	2.92
A	2.05
B	2.92
A	2.05
B	2.92
A	2.05
B	2.92
A	2.05
B	2.92
A	2.05
B	2.91
A	2.05
B	2.91
A	2.05
B	2.91
A	2.05
B	2.91
A	2.05
B	2.91
A	2.05
B	2.91
A	2.05
B	2.91
A	2.05
B	2.91
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.89
A	2.05
B	2.89
A	2.05
B	2.89
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
B	2.9
A	2.05
